PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
35.95,118.12710293078135,10.05,9.75,19.8,23.48347601937197,10.05,16.66,8.61,2.59,9.85,1.74
58.07,118.12710293078135,10.51,8.67,19.18,23.48347601937197,10.51,21.2,19.87,3.49,11.59,3.3
46.04,118.12710293078135,9.72,8.75,18.46,23.48347601937197,9.72,17.27,10.35,2.09,6.33,1.19
52.27,118.12710293078135,10.79,9.23,20.02,23.48347601937197,10.79,19.62,9.14,4.67,8.96,1.89
46.68,118.12710293078135,10.08,9.3,19.73,23.48347601937197,10.08,17.77,15.97,2.98,7.55,1.4
44.59,118.12710293078135,10.47,7.39,17.86,23.48347601937197,10.47,17.62,11.2,2.88,6.65,1.0
30.81,118.12710293078135,9.36,7.86,17.22,23.48347601937197,9.36,17.58,15.72,1.96,4.87,0.97
47.67,118.12710293078135,9.63,8.39,18.02,23.48347601937197,9.63,16.95,18.89,2.41,6.07,1.07
35.69,118.12710293078135,9.38,8.14,18.2,23.48347601937197,9.38,16.72,14.63,1.77,5.62,0.78
36.44,118.12710293078135,9.59,7.07,16.66,23.48347601937197,9.59,17.76,14.99,1.53,5.32,0.59
33.83,118.12710293078135,10.14,7.82,18.27,23.48347601937197,10.14,17.93,13.9,1.49,4.8,0.66
34.23,118.12710293078135,10.17,7.14,17.3,23.48347601937197,10.17,18.76,13.79,1.35,3.9,0.58
52.15,118.12710293078135,10.7,7.15,17.85,23.48347601937197,10.7,16.32,14.67,2.75,8.02,0.91
35.99,118.12710293078135,9.91,8.65,18.56,23.48347601937197,9.91,19.29,18.16,1.77,4.13,2.96
37.93,118.12710293078135,9.75,9.2,18.95,23.48347601937197,9.75,19.07,15.42,2.23,4.58,1.11
31.94,118.12710293078135,9.5,7.84,17.34,23.48347601937197,9.5,16.87,14.27,1.12,3.59,0.65
18.04,118.12710293078135,7.3,7.02,17.19,23.48347601937197,7.3,15.49,19.0,0.61,2.32,0.36
36.51,118.12710293078135,10.07,10.68,21.06,23.48347601937197,10.07,18.22,22.56,1.53,6.64,1.82
55.71,118.12710293078135,11.17,12.86,24.03,23.48347601937197,11.17,17.75,21.14,2.55,10.55,3.43
53.94,118.12710293078135,10.01,12.54,22.55,23.48347601937197,10.01,18.85,24.79,2.72,9.57,2.13
49.34,118.12710293078135,9.75,8.67,18.43,23.48347601937197,9.75,15.82,26.39,2.02,6.6,0.97
39.43,118.12710293078135,12.67,10.1,22.77,23.48347601937197,12.67,16.95,11.63,4.34,9.99,2.34
42.33,118.12710293078135,11.31,9.31,20.62,23.48347601937197,11.31,19.61,15.38,3.78,8.85,1.94
26.75,118.12710293078135,9.8,6.77,16.57,23.48347601937197,9.8,19.37,17.5,1.94,4.72,0.71
34.16,118.12710293078135,9.66,5.46,15.12,23.48347601937197,9.66,18.59,17.44,0.63,3.06,0.47
30.07,118.12710293078135,9.82,5.73,15.55,23.48347601937197,9.82,18.28,17.65,1.65,3.38,0.6
25.54,118.12710293078135,9.5,5.56,15.63,23.48347601937197,9.5,15.28,16.47,1.1,2.55,0.48
38.47,118.12710293078135,10.63,5.7,16.34,23.48347601937197,10.63,17.44,17.34,1.28,3.62,0.78
42.55,118.12710293078135,10.36,6.59,16.95,23.48347601937197,10.36,17.85,20.24,1.28,2.99,0.24
38.1,118.12710293078135,10.2,7.04,17.24,23.48347601937197,10.2,18.46,16.83,1.6,3.68,0.3
27.22,118.12710293078135,12.02,6.34,18.36,23.48347601937197,12.02,17.38,12.94,1.25,5.51,0.06
41.81,118.12710293078135,10.75,9.77,20.52,23.48347601937197,10.75,18.03,22.44,1.4,4.97,0.05
75.03,118.12710293078135,11.23,9.47,20.7,23.48347601937197,11.23,17.61,41.28,1.76,6.56,0.02
67.45057794890306,118.12710293078135,17.574729662029362,28.560659061126955,32.30912333307031,23.48347601937197,2.2485982090856145,14.53197725590996,34.49143047551845,3.280840304500585,8.700972080037227,3.0701278234985114
86.63,118.12710293078135,11.74,6.39,18.13,23.48347601937197,11.74,9.97,20.38,0.36,0.76,0.0
70.34,118.12710293078135,11.25,7.1,18.35,23.48347601937197,11.25,12.49,20.13,0.0,0.0,0.0
50.49,118.12710293078135,10.91,5.04,15.95,23.48347601937197,10.91,13.29,22.39,0.0,0.0,0.0
42.25,118.12710293078135,11.07,6.55,17.62,23.48347601937197,11.07,9.61,24.3,0.0,0.0,0.0
48.23,118.12710293078135,11.09,9.01,19.25,23.48347601937197,11.09,18.51,18.52,0.01,0.02,0.0
83.57,118.12710293078135,7.8,10.61,18.41,23.48347601937197,7.8,19.72,30.68,3.77,15.49,5.59
75.41,118.12710293078135,12.23,11.07,23.3,23.48347601937197,12.23,26.31,37.64,4.07,14.97,9.04
76.96,118.12710293078135,6.95,9.04,16.0,23.48347601937197,6.95,28.44,41.7,2.06,7.8,3.18
72.52,118.12710293078135,7.31,9.14,16.45,23.48347601937197,7.31,28.08,32.65,1.76,5.73,3.64
109.22,118.12710293078135,11.05,13.21,24.26,23.48347601937197,11.05,60.04,33.06,3.87,10.35,5.17
143.07,118.12710293078135,5.85,73.39,40.17,23.48347601937197,5.85,132.05,42.6,15.08,0.51,4.07
58.62,118.12710293078135,5.49,61.64,34.16,23.48347601937197,5.49,88.67,86.71,8.51,31.34,3.59
74.08,118.12710293078135,7.19,57.73,33.53,23.48347601937197,7.19,45.02,40.27,15.38,53.13,9.9
62.76,118.12710293078135,5.58,62.02,34.05,23.48347601937197,5.58,74.08,83.18,14.84,67.56,10.1
52.15,118.12710293078135,15.98,65.44,43.85,23.48347601937197,15.98,86.58,58.81,1.82,12.48,28.35
86.9,118.12710293078135,7.54,76.2,42.8,23.48347601937197,7.54,105.41,72.02,8.28,27.53,8.36
77.34,118.12710293078135,6.33,61.41,34.68,23.48347601937197,6.33,102.44,75.64,12.03,37.64,3.29
72.04,118.12710293078135,7.78,73.92,41.87,23.48347601937197,7.78,114.05,73.53,15.03,58.24,7.72
67.44,118.12710293078135,5.95,62.74,35.05,23.48347601937197,5.95,99.05,93.19,12.12,47.21,5.22
84.46,118.12710293078135,7.58,87.62,48.4,23.48347601937197,7.58,102.36,69.02,14.48,45.6,6.33
76.51,118.12710293078135,9.26,76.69,44.32,23.48347601937197,9.26,103.46,93.51,14.29,61.83,7.48
63.88,118.12710293078135,13.87,69.32,44.16,23.48347601937197,13.87,70.3,105.33,12.77,60.99,9.5
66.89,118.12710293078135,5.86,92.57,49.53,23.48347601937197,5.86,89.53,68.56,9.0,37.96,4.21
54.45,118.12710293078135,8.51,116.22,63.04,23.48347601937197,8.51,167.13,9.36,11.97,70.75,17.01
41.64,118.12710293078135,13.79,104.44,61.23,23.48347601937197,13.79,109.4,63.12,12.47,69.84,13.17
62.83,118.12710293078135,21.11,68.69,49.24,23.48347601937197,21.11,67.09,71.3,9.24,29.75,5.67
71.3,118.12710293078135,7.93,35.8,23.38,23.48347601937197,7.93,63.28,34.83,0.74,6.61,3.21
37.9,118.12710293078135,4.96,31.24,18.93,23.48347601937197,4.96,16.31,34.76,0.74,15.2,3.21
39.97,118.12710293078135,7.15,32.39,19.83,23.48347601937197,7.15,30.7,36.08,2.62,15.35,3.21
46.17,118.12710293078135,10.7,30.48,22.85,23.48347601937197,10.7,51.35,27.9,6.65,28.04,0.65
41.81,118.12710293078135,8.66,27.69,19.91,23.48347601937197,8.66,36.92,34.49143047551845,5.04,23.67,0.65
41.04,118.12710293078135,7.56,28.36,19.48,23.48347601937197,7.56,54.07,34.49143047551845,5.02,20.38,0.65
49.71,118.12710293078135,9.59,28.6,21.11,23.48347601937197,9.59,53.54,34.54,7.95,26.87,0.65
44.75,118.12710293078135,10.25,28.9,21.64,23.48347601937197,10.25,65.8,28.02,7.63,26.17,1.04
44.79,118.12710293078135,7.28,32.12,21.1,23.48347601937197,7.28,74.84,37.9,6.22,30.82,0.65
49.07,118.12710293078135,8.51,30.74,21.34,23.48347601937197,8.51,88.3,27.48,6.89,31.88,0.65
46.06,118.12710293078135,7.07,27.6,18.74,23.48347601937197,7.07,59.55,32.54,5.54,27.16,0.65
52.82,118.12710293078135,9.88,28.48,21.26,23.48347601937197,9.88,73.73,27.07,6.94,29.35,0.96
53.39,118.12710293078135,6.91,30.28,19.9,23.48347601937197,6.91,56.45,31.93,6.21,32.04,0.82
59.44,118.12710293078135,6.67,31.77,20.48,23.48347601937197,6.67,86.73,38.54,5.65,31.0,0.65
71.01,118.12710293078135,7.69,38.17,24.36,23.48347601937197,7.69,106.62,24.78,9.05,35.54,0.93
59.98,118.12710293078135,8.89,31.95,22.22,23.48347601937197,8.89,97.46,34.49143047551845,7.68,31.62,0.87
50.7,118.12710293078135,8.58,33.44,22.69,23.48347601937197,8.58,27.74,59.94,6.92,32.76,0.65
69.87,118.12710293078135,6.96,34.82,22.14,23.48347601937197,6.96,16.35,40.76,8.23,32.22,0.65
