PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene
36.3,90.07,5.19,15.65,11.51,23.48347601937197,5.19,30.8,49.83,4.66,14.64,1.08
32.12,89.74,5.07,21.61,14.33,23.48347601937197,5.07,20.75,62.53,5.64,18.82,2.04
30.73,78.56,4.36,28.65,17.23,23.48347601937197,0.59,32.01,42.61,6.91,32.15,3.51
26.7,72.83,2.72,27.0,15.18,23.48347601937197,0.36,21.57,42.16,5.63,34.1,3.97
32.11,94.34,3.68,17.95,11.49,23.48347601937197,0.45,15.83,42.22,5.48,33.62,2.16
31.67,81.09,3.93,16.17,10.82,23.48347601937197,0.35,32.39,43.6,3.97,20.74,1.23
27.19,82.36,3.52,16.13,9.85,23.48347601937197,0.28,20.59,51.81,1.78,9.02,0.67
25.91,73.35,4.78,13.82,10.29,23.48347601937197,0.4,10.58,44.44,1.8,10.39,0.75
31.76,81.16,3.99,19.95,12.7,23.48347601937197,0.46,29.73,52.46,3.52,20.49,1.34
32.55,87.41,3.53,23.58,14.12,23.48347601937197,0.46,42.86,50.2,4.92,32.73,2.51
27.15,76.73,3.18,24.82,14.4,23.48347601937197,0.67,32.97,54.81,3.39,32.14,2.46
26.93,74.38,2.76,17.05,10.37,23.48347601937197,0.46,37.7,56.97,1.92,18.54,1.64
28.71,89.91,2.83,13.32,8.6,23.48347601937197,0.54,26.36,49.97,1.59,15.82,0.92
22.56,63.23,3.68,15.16,10.09,23.48347601937197,0.56,25.87,55.72,1.55,10.29,0.65
23.82,62.1,4.69,16.38,11.49,23.48347601937197,0.64,22.71,54.35,2.83,16.27,0.89
23.73,69.88,4.85,15.87,11.36,23.48347601937197,0.73,20.04,58.72,2.38,16.23,0.9
33.47,134.83,3.6,29.05,13.84,23.48347601937197,0.54,2.42,54.8,3.57,26.59,1.91
26.52,79.38,4.06,18.06,11.7,23.48347601937197,0.67,14.53197725590996,59.96,3.7,19.68,1.57
30.45,75.08,3.74,21.48,13.23,23.48347601937197,0.4,14.53197725590996,58.31,7.47,34.84,1.72
26.79,66.34,3.71,14.99,10.06,23.48347601937197,0.51,14.53197725590996,57.81,3.26,20.64,0.86
23.79,74.56,5.61,16.64,11.91,23.48347601937197,0.55,14.53197725590996,52.49,4.37,20.72,1.14
26.17,62.14,1.93,14.73,8.61,23.48347601937197,0.77,14.53197725590996,56.28,2.65,16.72,0.84
21.31,66.1,1.85,15.01,8.68,23.48347601937197,0.54,14.53197725590996,57.55,1.9,13.92,0.76
21.94,69.06,2.95,16.95,10.47,23.48347601937197,0.58,14.53197725590996,57.89,3.3,16.19,0.97
23.19,67.28,4.12,17.46,11.59,23.48347601937197,0.48,14.53197725590996,52.31,2.85,18.48,0.88
21.9,64.39,2.98,18.73,11.33,23.48347601937197,0.49,14.53197725590996,51.86,2.28,16.67,0.81
19.15,78.8,3.93,19.59,12.47,23.48347601937197,0.51,14.53197725590996,61.79,4.14,25.58,1.62
35.75,107.68,2.54,18.72,11.0,23.48347601937197,0.39,14.53197725590996,54.31,3.02,18.12,1.25
27.28,63.5,2.5,18.56,10.84,23.48347601937197,0.68,14.53197725590996,55.52,2.91,17.83,1.29
20.85,61.13,2.6,21.35,12.35,23.48347601937197,0.62,14.53197725590996,54.41,2.95,20.62,3.15
23.98,56.9,4.15,26.56,16.04,23.48347601937197,0.61,14.53197725590996,59.05,4.36,22.17,2.43
25.6,82.26,2.86,22.47,13.05,23.48347601937197,0.69,14.53197725590996,60.12,5.5,25.02,1.96
33.35,84.99,2.64,25.02,14.15,23.48347601937197,0.56,14.53197725590996,62.4,6.41,21.6,1.86
31.38,90.28,4.54,35.67,20.77,23.48347601937197,0.65,14.53197725590996,62.39,7.75,32.76,2.64
29.26,82.26,2.58,22.23,12.73,23.48347601937197,0.67,14.53197725590996,55.64,5.36,25.91,1.69
25.47,67.79,2.73,17.85,10.7,23.48347601937197,0.81,14.53197725590996,57.16,2.62,11.5,1.34
24.84,70.95,3.98,16.03,10.65,23.48347601937197,0.57,14.53197725590996,57.53,2.24,12.49,0.98
